atom	latt_par	distance
Ac	5.311	3.75544411488175
Ag	4.0855	2.88888475453764
Al	4.0339	2.85239804462841
Am	4.894	3.46058058712696
Au	4.07825	2.88375823037404
Ca	5.5884	3.9515955359829
Ce	5.1612	3.64951951906001
Co	3.548	2.50881485964987
Cr	3.68	2.60215295476649
Cs	6.465	4.57144534037103
Cu	3.6077	2.55102913448671
Fe	3.595	2.54204887836564
Hf	4.44	3.13955410846827
Ir	3.8394	2.71486577568763
K	5.104	3.60907301117614
Kr	5.721	4.04535789516824
La	5.291	3.74130197925802
Li	3.855	2.72589664147414
Mn	3.49	2.46780266634105
Mo	4.03	2.84964032818179
Nb	4.23	2.9910616844191
Nd	4.917	3.47684404309425
Ne	3.003	2.1234416639032
Ni	3.5451	2.50676424998443
Pb	4.92	3.47896536343781
Pd	3.9	2.75771644662754
Pt	3.944	2.78882914499974
Pu	4.6347	3.27722779876529
Re	3.95	2.79307178568686
Rh	3.8031	2.68919779953056
Ru	3.83	2.70821897194448
Sb	4.61	3.25976226126998
Sc	4.52	3.19612265096319
Si	3.34	2.36173664916307
Sn	5.8197	4.11514933447135
Sr	6.0847	4.30253263148579
Ta	4.22	2.98399061660723
Tc	3.9	2.75771644662754
Th	5.0843	3.59514300758676
Ti	4.06	2.87085353161738
Tl	4.33	3.06177236253775
V	3.79	2.67993470069702
W	4.06	2.87085353161738
Y	4.97	3.51432070249714
Yb	5.4862	3.87932922294564
Zr	4.51	3.18905158315133
